TERMINO,DEFINICION,REFERENCIA,ARTICULO
Uso del suelo,"El uso del suelo caracteriza los arreglos, actividades e insumos que las personas realizan en un determinado tipo de cobertura de la tierra para producir en ella, cambiarla o mantenerla. La definición del uso del suelo de esta manera establece un vínculo directo entre la cobertura de la tierra y las acciones de las personas en su entorno",NA,NA
Uso sostenible,"Utilizar los componentes de la biodiversidad de un modo y a un ritmo que no ocasione su disminución o degradación a largo plazo alterando los atributos básicos de composición, estructura y función, con lo cual se mantienen las posibilidades de esta de satisfacer las necesidades y las aspiraciones de las generaciones actuales y futuras",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Usuario,"Persona natural o jurídica, pública o privada, titular de un acto administrativo, por medio del cual se le otorgó el derecho al manejo sostenible de la flora silvestre y de los productos forestales no maderables",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Usuario de la autoridad ambiental competente,"oda persona natural o jurídica de derecho público o privado, que cuente con permiso de vertimientos, plan de cumplimiento o plan de saneamiento y manejo de vertimientos para la disposición de sus vertimientos a las aguas superficiales, marinas o al suelo.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Usuario y/o suscriptor de una Empresa Prestadora del Servicio Público de Alcantarillado,"Toda persona natural o jurídica de derecho público o privado, que realice vertimientos al sistema de alcantarillado público.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Ventas brutas de energía por generación propia,Es el resultado de multiplicar la generación propia por la tarifa que para ventas en bloque señale la Comisión de Regulación Energética.,Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
Vertimiento,"Descarga final a un cuerpo de agua, a un alcantarillado o al suelo, de elementos, sustancias o compuestos contenidos en un medio líquido",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Vertimiento al recurso hídrico,"Es cualquier descarga final al recurso hídrico de un elemento, sustancia o parámetro contaminante, que esté contenido en un líquido residual de cualquier origen.",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Vertimiento no puntual,"Aquel en el cual no se puede precisar el punto exacto de descarga al cuerpo de agua o al suelo, tal es el caso de vertimientos provenientes de escorrentía, aplicación de agroquímicos u otros similares.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Vertimiento puntual,"El que se realiza a partir de un medio de conducción, del cual se puede precisar el punto exacto de descarga al cuerpo de agua, al alcantarillado o al suelo.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Vertimiento puntual directo al recurso hídrico,Es aquel vertimiento realizado en un punto fijo y directamente al recurso hídrico,Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Vertimiento puntual indirecto al recurso hídrico,Es aquel vertimiento que se realiza desde un punto fijo a través de un canal natural o artificial o de cualquier medio de conducción o transporte a un cuerpo de agua superficial.,Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Vulnerabilidad,"Susceptibilidad o fragilidad física, económica, social, ambiental o institucional que tiene una comunidad de ser afectada o de sufrir efectos adversos en caso de que un evento físico peligroso se presente. Corresponde a la predisposición a sufrir pérdidas o daños de los seres humanos y sus medios de subsistencia, así como de sus sistemas físicos, sociales, económicos y de apoyo que pueden ser afectados por eventos físicos peligrosos.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Vulnerabilidad intrínseca de un acuífero a la contaminación,Características propias de un acuífero que determinan la facilidad con que un contaminante derivado de actividades antrópicas o fenómenos naturales pueda llegar a afectarlo.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Zona amortiguadora,"Zona en la cual se atenúan las perturbaciones causadas por la actividad humana en las zonas circunvecinas a las distintas áreas del Sistema de Parques Nacionales Naturales, con el fin de impedir que llegue a causar disturbios o alteraciones en la ecología o en la vida silvestre de estas áreas.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Zona costera,Franja de anchura variable de tierra firme y espacio marítimo en donde se presentan procesos de interacción entre el mar y la tierra que contiene ecosistemas diversos y productivos dotados de gran capacidad para proveer servicios ecosistémicos.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Zona de alta densidad de uso,"Zona en la cual por sus condiciones naturales, características y ubicación, pueden realizarse actividades recreativas y otorgar educación ambiental de tal manera que armonice con la naturaleza el lugar produciendo la menor alteración posible",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Zona de mezcla,"Área técnicamente determinada a partir del sitio de vertimiento, indispensable para que se produzca mezcla homogénea de este con el cuerpo receptor; en la zona de mezcla se permite sobrepasar los criterios de calidad de agua para el uso asignado, siempre y cuando se cumplan las normas de vertimiento",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Zona de recreación general exterior,"Zona que por sus condiciones naturales ofrece la posibilidad de dar ciertas facilidades al visitante para su recreación al aire libre, sin que esta pueda ser causa de modificaciones significativas del ambiente",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Zona de recuperación natural.,Zona que ha sufrido alteraciones en su ambiente natural y que está destinada al logro de la recuperación de la naturaleza que allí existió o a obtener mediante mecanismos de restauración un estado deseado del ciclo de evolución ecológica; lograda la recuperación o el estado deseado esta zona será denominada de acuerdo con la categoría que le corresponda.,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Zona histórico cultural,"Zona en la cual se encuentran vestigios arqueológicos, huellas o señales de culturas pasadas, supervivencia de culturas indígenas, rasgos históricos o escenarios en los cuales tuvieron ocurrencia hechos trascendentales de la vida nacional.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Zona intangible,"Zona en la cual el ambiente ha de mantenerse ajeno a la mínima alteración humana, a fin de que las condiciones naturales se conserven a perpetuidad.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Zona primitiva,Zona que no ha sido alterada o que ha sufrido mínima intervención humana en sus estructuras naturales.,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Zonificación,"Subdivisión con fines de manejo de las diferentes áreas que integran el Sistema de Parques Nacionales Naturales, que se planifica y determina de acuerdo con los fines y características naturales de la respectiva área, para su adecuada administración y para el cumplimiento de los objetivos señalados. La zonificación no implica que las partes del área reciban diferentes grados de protección sino que a cada una de ellas debe darse manejo especial a fin de garantizar su perpetuación.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Zoonificar,"La zonificación de cuencas hidrográficas corresponde a tres niveles de jerarquía: áreas, zonas y subzonas hidrográficas.Las áreas hidrográficas corresponden a las regiones hidrográficas o vertientes que, ensentido estricto, son las grandes cuencas que agrupan un conjunto de ríos con sus afluentes que desembocan en un mismo mar. Ahora bien, en Colombia se distinguen cuatro vertientes, dos de ellas asociadas a ríos de importancia continental (vertiente del Orinoco y vertiente del Amazonas) y las vertientes del Atlántico y del Pacífico. Se delimita adicionalmente como áea hidrográfica la cuenca Magdalena-Cauca, que aunque tributa y forma parte de la vertiente del Atlántico, tiene importancia socioeconómica por su alto poblamiento y aporte al producto interno bruto. Las cuencas hidrográficas que entregan o desembocan sus aguas superficiales directamente de una área hidrográfica se denominaran zonas hidrográficas",NA,NA
